Time	RMS-x	RMS-y	RMS-z	Mean-x	 Mean-y	 Mean-z	 Max-x	 Max-y	 Max-z	 Min-x	 Min-y	 Min-z	 IQR-x	 IQR-y	 IQR-z	 Variance-x	 Variance-y	 Variance-z	 Std-x	Std-y	 Std-z	 224.51	3.83	13.66	9.37	-0.76	-11.57	1.27	7.16	2.13	17.57	-10.35	-28.84	-21.6	5.56	9.54	14.67		14.24		53.15		87.1	3.77	7.29	9.33
225.51	3.52	12.84	7.94	-0.89	-10.67	0.95	5.28	3.53	14.77	-8.82	-27.69	-20.34	4.64	10.33	10.18		11.7		51.63		62.8	3.42	7.19	7.92
226.51	3.83	13.26	9.3	-0.52	-10.57	1.13	7.05	3.54	16.15	-8.79	-28.33	-25.11	5.16	9.42	16.39		14.56		64.74		86.02	3.82	8.05	9.27
227.5	4.39	13.17	9.17	-0.67	-11.02	0.77	9.18	2.24	14.1	-13.18	-28.41	-23.11	4.37	7.56	12.94		18.98		52.39		84.3	4.36	7.24	9.18
228.5	4.0	13.74	9.73	-0.92	-11.5	-0.44	6.0	3.87	14.09	-9.72	-28.23	-24.26	5.78	8.25	13.61		15.28		57.23		95.43	3.91	7.57	9.77
229.49	3.8	13.5	9.17	-0.63	-11.32	0.93	6.39	3.21	17.67	-8.48	-26.2	-21.3	5.76	8.35	15.73		14.18		54.58		84.1	3.77	7.39	9.17
230.49	4.45	13.16	9.64	-1.42	-10.98	0.89	6.12	2.08	14.62	-10.65	-29.62	-26.88	5.88	9.69	14.58		17.94		53.16		93.14	4.24	7.29	9.65
231.49	3.78	13.29	8.95	-0.9	-11.37	1.15	5.75	2.28	13.45	-10.34	-28.35	-25.08	5.75	9.02	13.99		13.61		47.82		79.65	3.69	6.92	8.92
232.49	4.44	13.44	9.38	-0.44	-11.37	1.12	7.61	1.89	16.93	-12.35	-29.55	-22.59	5.93	7.2	12.33		19.74		51.98		87.6	4.44	7.21	9.36
233.49	4.17	13.17	8.91	-0.28	-11.16	0.56	7.28	2.01	16.1	-11.06	-28.41	-21.02	6.59	8.23	13.3		17.45		49.55		79.94	4.18	7.04	8.94
234.49	3.79	13.27	8.87	-0.65	-11.13	0.15	6.52	3.12	13.73	-8.8	-27.65	-24.45	5.5	7.03	14.35		14.08		52.62		79.48	3.75	7.25	8.92
235.48	4.26	13.62	9.13	-0.56	-11.36	0.86	7.79	2.38	15.39	-11.72	-28.05	-23.34	5.72	7.75	14.82		18.02		57.08		83.36	4.24	7.56	9.13
